apple_music_id,artist,name,effective_bpm,consensus_bpm,djay_bpm_diff,bpm_diff,djay_bpm,djay_manual_bpm,djay_straight_grid,apple_music_bpm,beatunes_bpm,beatunes_bpm_salience,bpm_rhythm,bpm_rhythm_confidence,bpm_percival,effective_key,consensus_key,key_diff,djay_key,essentia_key,beatunes_key,apple_music_key,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,braw_key,braw_strength,shaath_key,shaath_strength,temperley_key,temperley_strength,noland_key,noland_strength
EEC86D0C2EC2A9B7,Steffi feat. Virginia,Yours,124.95,124.95,0.0,0.48,125.0,,True,125,124.98825073242188,0.9459459185600281,124.52,3.067,124.91,1m,1m,4,12m,1m,1m,1m,1m,0.8732,1m,0.8655,12m,0.8788,12m,0.8457,1m,0.8287,1m,0.7155,12m,0.9351
0B96594B3C795661,Max Cooper feat. Wilderthorn,Volition (Robag Wruhme’s Botnax Caal Remix),123.89,123.89,0.0,0.41,124.0,,True,124,124.0025405883789,0.9484536051750183,123.59,2.2407,123.78,4d,4d,4,4d,4d,4m,4d,4d,0.9803,1m,0.714,4d,0.9686,4d,0.9873,4d,0.9604,4d,0.8288,3d,0.7733
FFBC0AB56FE356D9,Tomas Barfod,Came To Party,104.01,104.01,0.0,0.4,104.0,,False,104,104.0,1.0,104.02,3.4273,104.4,12d,12d,4,1m,12d,12d,12d,1m,0.7761,1m,0.7756,12d,0.7581,12d,0.703,1m,0.8033,12d,0.8587,12d,0.784
0F318D760842D049,Dave DK,Will Be Gone,122.01,122.01,0.0,0.33,122.0,,True,122,121.99169921875,0.9685864448547363,122.02,2.8264,122.32,8m,8m,4,7m,8m,7m,8m,8m,0.866,8m,0.8453,8m,0.8551,7m,0.8341,8m,0.7827,8m,0.6719,7m,0.895
9BD4637C4A7A2826,Mount Kimbie,Made To Stray (DJ Koze Remix),125.0,125.0,0.0,0.31,125.0,,True,125,125.0,1.0,124.97,1.8735,125.28,8m,8m,4,8m,8m,7m,8m,8m,0.8372,8m,0.8599,8m,0.836,7m,0.7665,8m,0.8773,7d,0.7729,7m,0.9025
007FD1AF98397066,José González,Heartbeats (Logic1000 Remix),123.89,123.89,0.0,0.3,124.0,,True,124,124.0025405883789,0.9329897165298462,123.7,1.7058,123.78,8m,8m,4,8m,8m,7m,8m,8m,0.8675,8m,0.8395,7m,0.8429,8m,0.8071,8m,0.8376,7d,0.802,7m,0.915
67A577EC2C670048,Jon Hopkins,Sun Harmonics,118.0,118.0,0.0,0.24,118.0,,False,118,118.0,1.0,117.88,1.6849,118.12,2d,2d,4,2d,2d,2d,2d,2d,0.8957,11m,0.6405,2d,0.8938,2d,0.8884,2d,0.9022,2d,0.8069,1d,0.7876
A5AA505409F45D58,Who Made Who,Keep Me In My Plane (DJ Koze's Hudson River Dub),116.0,116.0,0.0,0.24,116.0,,True,116,116.0,1.0,115.89,3.234,116.13,8m,8m,4,7m,8m,7m,8m,8m,0.8698,8m,0.8185,8m,0.8367,8m,0.8537,8m,0.7714,7d,0.6649,7m,0.8535
8409C774C2D44656,Tim Engelhardt,High Places,123.99,123.99,0.0,0.22,124.0,,True,124,124.0025405883789,0.9742268323898315,123.98,2.4691,123.78,7d,7d,4,8d,7d,8m,7d,7d,0.7589,8m,0.7641,7d,0.8555,7d,0.8471,8m,0.8402,7d,0.8643,7d,0.8739
3593352EB5B1F992,"Fred again.., Obongjayar",adore u,123.98,123.98,0.0,0.22,124.0,,True,124,124.0,1.0,123.96,2.3935,123.78,1d,1d,4,1d,1d,1d,1d,1d,0.9395,10m,0.638,1d,0.943,1d,0.9505,1d,0.9599,1d,0.8708,12d,0.8359
DC08137A23A8469D,Michael Mayer feat. Joe Goddard,For You (DJ Koze Mbira Remix Full Version),124.0,124.0,0.0,0.22,124.0,,True,124,124.0025405883789,0.9795918464660645,123.99,2.6169,123.78,5d,5d,4,5d,5d,5d,5d,6d,0.8048,6m,0.6938,5d,0.8359,5d,0.8522,6d,0.8745,6d,0.8304,5d,0.8492
4AD3E818EBB15070,DJ Linus,Are You Ready?,123.99,123.99,0.0,0.22,124.0,,True,124,124.0025405883789,0.9949748516082764,123.98,3.4896,123.78,2d,2d,4,3m,2d,3m,2d,3m,0.6366,2m,0.5772,2d,0.6361,3m,0.6041,2d,0.68,2d,0.7987,2d,0.7633
83D63BB4E26A3B62,Maceo Plex,Her Security,119.99,119.99,0.0,0.22,120.0,,False,120,119.98084259033203,0.9071038365364075,119.97,1.928,120.19,4d,4d,4,3d,4d,3d,4d,4d,0.8608,4m,0.7107,4d,0.8796,4d,0.8531,4d,0.893,3d,0.879,3d,0.8898
53630469057C2991,Jeigo,Pearl Leaf,129.04,129.04,0.0,0.21,129.0,,False,129,129.08880615234375,0.9257143139839172,128.99,1.0577,129.2,11m,11m,4,11m,11d,10m,11m,11m,0.7829,11m,0.7991,12d,0.848,12d,0.7727,12m,0.7881,11d,0.8609,11d,0.9738
