apple_music_id,artist,name,key,bpm,djay_bpm,djay_manual_bpm,apple_music_bpm,djay_am_bpm_diff,open_key,comment,key_diff
6236764911369615890,Jamie XX,Sleep Sound,,118.2,118.2,,118,0.2,Key 10m,Key 10m,+0
2206076455905859951,Jayda G,All I Need (DJ-Kicks),,120.0,120.0,,120,0.0,Key 2m,Key 2m,+0
-1930755565674832180,Jimpster,Porchlight And Rocking Chairs (KiNK Remix),,120.0,120.0,,120,0.0,Key 10d,Key 10m,+0*
7242406951665744128,Joe Stawarz,Bee Bear,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-2184625639753560364,John Talabot feat. Pional,So Will Be Now,,117.0,117.0,,117,0.0,Key 9m,Key 9m,+0
7468507413304770632,Jon Hopkins,Sun Harmonics,,118.0,118.0,,118,0.0,Key 2d,Key 2d,+0
-8657101418717907301,Joy Jenkins,Flowers,,120.0,120.0,,120,0.0,Key 12m,Key 12m,+0
3444849648932737616,Keinemusik,What You Expected,,122.0,122.0,,122,0.0,Key 2m,Key 2m,+0
1218550728542419718,Keinemusik,Muyè,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-7910291475826423363,Keinemusik feat. Nomi Ruiz,Bumper,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
2408419544984801267,Kiasmos,Looped,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-1482847748072480717,Lady Alma,It's House Music,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-9175606036320139693,Lauer feat. Dena,Make It Stay (Boris Dlugosch Remix),,122.0,122.0,,122,0.0,Key 1d,Key 1d,+0
-5225462014731157303,Lawrence,Glow,,121.0,121.0,,121,0.0,Key 12m,Key 12m,+0
-8356137033194206961,Leafar Legov,Cenote,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
7941195832775621978,Leon Vynehall,Time,,119.99,119.99,,120,-0.01,Key 4m,Key 4m,+0
595488912866712317,Leon Vynehall,Butterflies,,120.0,120.0,,120,0.0,Key 10m,Key 10m,+0
-8656412931983252698,Les Sins,Grind,,120.0,120.0,,120,0.0,Key 8m,Key 8m,+0
-7073656316195896404,Letherette,Langsette,,114.0,114.0,,114,0.0,Key 11d,Key 11m,+0*
-2325399072246630344,Logic1000,Fused (DJ - Kicks),,98.0,98.0,,98,0.0,Key 4m,Key 4m,+0
5521436990675112239,Lokke,Tuo Volto,,115.0,115.0,,115,0.0,Key 1m,Key 1m,+0
-8653438490928766201,Luca Musto,Word,,114.0,114.0,,114,0.0,Key 5m,Key 5m,+0
-4907764437845027756,Luca Musto,Tight Situation,,109.0,109.0,,109,0.0,Key 12m,Key 12m,+0
3472006066853710211,Maceo Plex,Can't Leave You (Original Mix),,121.0,121.0,,121,0.0,Key 12m,Key 12m,+0
-8946897961646146718,Maceo Plex,Her Security,,120.0,120.0,,120,0.0,Key 3d,Key 3d,+0
-841682508963960400,Maceo Plex,Your Style (Maceo Plex Re-visit),,122.0,122.0,,122,0.0,Key 9m,Key 9m,+0
9018061109031782142,Map.Ache,Enola (Original Mix),,121.0,121.0,,121,0.0,Key 1m,Key 1m,+0
-1166790865708347174,Maribou State feat. Pedestrian,The Clown (Axel Boman Remix),,116.0,116.0,,116,0.0,Key 1m,Key 1m,+0
5699899632460125763,"&ME, Black Coffee, Keinemusik",The Rapture Pt.III,,120.0,120.0,,120,0.0,Key 1m,Key 1m,+0
-6311773487798049096,Melanie De Biasio,Afro Blue,,102.0,102.0,,102,0.0,Key 1m,Key 1m,+0
-7876756274182519337,Midlake,Roscoe (Beyond The Wizard's Sleeve Remix),,121.7,121.7,,121,0.7,Key 6d,Key 6m,+0*
7865468166400464940,Moderat,Bad Kingdom (DJ Koze Remix),,118.0,118.0,,118,0.0,Key 1m,Key 1m,+0
-8485693534024804116,Moodymann,Shades Of Jae,,120.6,120.6,,121,-0.4,Key 11m,Key 11m,+0
4981932679109136640,Mosley Jr,My Friend Steve,,110.0,110.0,,110,0.0,Key 11m,Key 11m,+0
4819499593723479256,mytripismytrip,patience,,102.0,102.0,,102,0.0,Key 1d,Key 1m,+0*
-3214879969226816571,Neşe Karaböcek,Yali Yali (Todd Terje Edit),,116.0,116.0,,116,0.0,Key 12m,Key 12m,+0
4965701715304683366,Nhar,Warp 8,,121.0,121.0,,121,0.0,Key 5m,Key 5m,+0
7844228642996535804,Nicolas Jaar,Can't See What Is Burning There,,107.0,107.0,,107,0.0,Key 1m,Key 1m,+0
-1064965959223912633,Nightmares On Wax,Les Nuits,,94.64,94.64,,95,-0.36,Key 10m,Key 10m,+0
-4702272871301271010,Niju,Idea of Unity,,100.0,100.0,,100,0.0,Key 1m,Key 1m,+0
-107232964050934553,Ninze,Nice First Song,,107.0,107.0,,107,0.0,Key 10m,Key 10m,+0
-8177101682543646260,Noir & Haze,Around (Solomun Vox),,115.0,115.0,,115,0.0,Key 9m,Key 9m,+0
-4675826633507940751,Norken & Deer,Remember that feeling,,121.0,121.0,,121,0.0,Key 3m,Key 3m,+0
-6313808189294049841,Nutia,Backand4,,108.0,108.0,,108,0.0,Key 2m,Key 2m,+0
1937144846461283045,Pachanga Boys,Drunken Dancer,,115.84,115.84,,116,-0.16,Key 9m,Key 9m,+0
5359692276108508695,Panthera Krause,Through My Mind,,121.0,121.0,,121,0.0,Key 9d,Key 9d,+0
1732782199235839744,Pavla & Noura,Don't Owe Me a Thing,,94.0,94.0,,94,0.0,Key 12d,Key 12m,+0*
-6204130390970428356,Portable feat. L_Cio,Surrender,,120.0,120.0,,120,0.0,Key 3d,Key 3d,+0
2095064792119239611,Powel,I Don't Waste My Tears on You,,120.0,120.0,,120,0.0,Key 11d,Key 11m,+0*
-8995335096116301045,Rampa,Necessity,,120.0,120.0,,120,0.0,Key 3m,Key 3m,+0
-1211586218857913775,Ray Mang,Look Into My Eyes,,110.0,110.0,,110,0.0,Key 9m,Key 9m,+0
-7103716141534782741,Recondite,Felicity,,121.0,121.0,,121,0.0,Key 8m,Key 8m,+0
-703186357315071812,Robag Wruhme,Nata Alma (Club Smash Hit Version),,118.0,118.0,,118,0.0,Key 1m,Key 1m,+0
-3891103229564186865,Robag Wruhme,Venq Tolep (Hit Club Version),,122.0,122.0,,122,0.0,Key 2d,Key 2d,+0
820240586566521580,Róisín Murphy,You Knew,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-7042832767914413345,Roman Flugel,9 Years (DJ Koze Remix),,120.0,120.0,,120,0.0,Key 9m,Key 9m,+0
-3938644933872790028,Round,Glass,,120.0,120.0,,120,0.0,Key 11m,Key 11m,+0
-2511681517962179613,Saâda Bonaire,You Could Be More As You Are,,110.2,110.2,,110,0.2,Key 2m,Key 2m,+0
