apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength
2752566272739476218,Key 11m,0.8418,Key 11m,0.8868,Key 11d,0.8691,Key 11m,0.9029,Key 11d,0.8187,Key 11d,0.9073,Key 11d,0.9378
2760188559169668541,Key 12m,0.9356,Key 12m,0.9518,Key 12m,0.901,Key 12m,0.9156,Key 12m,0.8774,Key 12d,0.7679,Key 12m,0.857
2765481004266052142,Key 3d,0.9396,Key 3m,0.6726,Key 3d,0.9608,Key 3d,0.9725,Key 3d,0.9581,Key 3d,0.8957,Key 2d,0.8495
2766108957433184639,Key 2m,0.9596,Key 2m,0.9402,Key 2m,0.9251,Key 2m,0.9286,Key 2m,0.9388,Key 2m,0.7218,Key 2m,0.786
2782126565424630843,Key 6m,0.8909,Key 6m,0.8981,Key 6m,0.8201,Key 6m,0.8512,Key 6m,0.8703,Key 6m,0.7027,Key 6m,0.769
2806550742744706258,Key 7m,0.8602,Key 7m,0.8875,Key 7m,0.8828,Key 7m,0.8772,Key 7m,0.7713,Key 7m,0.7479,Key 6m,0.8511
2871207577135679659,Key 4d,0.9088,Key 4m,0.6922,Key 4d,0.9356,Key 4d,0.9626,Key 4d,0.9163,Key 4d,0.8989,Key 4d,0.8021
2993616516544629278,Key 9m,0.8543,Key 9m,0.8877,Key 9m,0.8511,Key 9m,0.8574,Key 9m,0.78,Key 9d,0.8159,Key 9d,0.8948
3078844038719059858,Key 5m,0.8976,Key 5m,0.8603,Key 5m,0.8927,Key 5m,0.8094,Key 5m,0.9147,Key 6m,0.6506,Key 5m,0.8347
3105079538647935745,Key 8m,0.6749,Key 8m,0.624,Key 8m,0.722,Key 8m,0.6332,Key 8m,0.6712,Key 8d,0.5,Key 7m,0.6233
3157503393842217991,Key 4m,0.9677,Key 4m,0.9452,Key 4m,0.9312,Key 4m,0.9209,Key 4m,0.9417,Key 4m,0.7437,Key 4m,0.7908
3158038207137506225,Key 1d,0.8675,Key 1m,0.7303,Key 1d,0.8928,Key 1d,0.9466,Key 1d,0.8969,Key 1d,0.891,Key 1d,0.7965
3180973923610614492,Key 9d,0.6519,Key 9m,0.5845,Key 9d,0.6158,Key 9d,0.6562,Key 9d,0.6792,Key 9m,0.5047,Key 8d,0.4588
3254338874554366955,Key 12d,0.8277,Key 1m,0.7131,Key 12d,0.8546,Key 12d,0.8719,Key 12d,0.8767,Key 12d,0.843,Key 12d,0.7937
3289017514970844315,Key 1m,0.8021,Key 1m,0.8618,Key 1d,0.8819,Key 1d,0.9049,Key 1d,0.8671,Key 1d,0.8904,Key 1d,0.8883
3321866976242804566,Key 7m,0.8529,Key 7m,0.8702,Key 7m,0.8848,Key 7m,0.8582,Key 7m,0.7929,Key 7d,0.8686,Key 7m,0.9155
3364475017115294024,Key 9m,0.9801,Key 9m,0.9476,Key 9m,0.9786,Key 9m,0.8958,Key 9m,0.9795,Key 9m,0.708,Key 9m,0.8611
3439199725015269212,Key 10m,0.8593,Key 10m,0.8803,Key 10m,0.8725,Key 10m,0.8442,Key 10m,0.8098,Key 10d,0.7886,Key 10m,0.8851
3444849648932737616,Key 2m,0.8912,Key 2m,0.8367,Key 2m,0.848,Key 2m,0.801,Key 2m,0.899,Key 2m,0.6979,Key 2m,0.7101
3472006066853710211,Key 12m,0.7563,Key 12m,0.78,Key 12m,0.7394,Key 12m,0.7232,Key 12m,0.7531,Key 1m,0.6477,Key 1d,0.6713
3593557186480901802,Key 3m,0.7777,Key 3m,0.7509,Key 3m,0.726,Key 3m,0.7494,Key 3m,0.7637,Key 4m,0.5721,Key 3m,0.5178
3860487780319754642,Key 1d,0.9395,Key 10m,0.638,Key 1d,0.943,Key 1d,0.9599,Key 1d,0.9505,Key 1d,0.8708,Key 12d,0.8359
3881143946558082442,Key 3m,0.861,Key 3m,0.8533,Key 3m,0.8713,Key 3m,0.8406,Key 3m,0.8032,Key 3d,0.8019,Key 3m,0.9146
3890875623303360691,Key 1d,0.8677,Key 2m,0.5726,Key 1d,0.9116,Key 1d,0.9441,Key 1d,0.9062,Key 1d,0.8892,Key 1d,0.8179
4044238728449588895,Key 6m,0.9094,Key 6m,0.8949,Key 6m,0.8796,Key 6m,0.8338,Key 6m,0.8905,Key 6d,0.6628,Key 6m,0.8993
4087714892523688783,Key 5m,0.8683,Key 5m,0.8962,Key 5m,0.8302,Key 5m,0.9423,Key 5m,0.7713,Key 4d,0.8277,Key 4d,0.8443
4090716324754044075,Key 9m,0.9253,Key 9m,0.8704,Key 9m,0.8769,Key 9m,0.8392,Key 9m,0.9353,Key 8d,0.5985,Key 8m,0.7364
4159827274565712762,Key 9m,0.8294,Key 9m,0.8523,Key 9m,0.8257,Key 9m,0.8181,Key 9m,0.7738,Key 9d,0.7315,Key 9m,0.8986
4298111262647520189,Key 3m,0.8542,Key 3m,0.8498,Key 3m,0.8555,Key 3m,0.7814,Key 3m,0.8099,Key 3m,0.7691,Key 3m,0.9115
4366919145322798016,Key 5m,0.7909,Key 5m,0.7761,Key 5m,0.7718,Key 5m,0.7335,Key 5m,0.753,Key 5m,0.7771,Key 4m,0.6953
4396813399298079035,Key 3m,0.9624,Key 3m,0.9277,Key 3m,0.8963,Key 3m,0.8609,Key 3m,0.9771,Key 3m,0.6216,Key 3m,0.7871
4454297499437696632,Key 1m,0.7391,Key 1m,0.7833,Key 1d,0.8416,Key 1d,0.8546,Key 1d,0.8027,Key 1d,0.9536,Key 1d,0.9476
4492187744495502467,Key 11m,0.956,Key 11m,0.9185,Key 11m,0.9049,Key 11m,0.8671,Key 11m,0.9768,Key 11m,0.675,Key 11m,0.7455
4524539483193774019,Key 5m,0.7791,Key 4m,0.8013,Key 4m,0.7721,Key 5m,0.7882,Key 4m,0.7168,Key 4d,0.8008,Key 4m,0.8432
4553529316625210071,Key 9m,0.9607,Key 9m,0.9575,Key 9m,0.9275,Key 9m,0.9082,Key 9m,0.9329,Key 9m,0.7135,Key 9m,0.8938
4568462663572913424,Key 12d,0.7996,Key 12m,0.6149,Key 12d,0.7874,Key 12d,0.8606,Key 12d,0.7669,Key 12d,0.8607,Key 11d,0.7402
4574860205344389846,Key 9m,0.8278,Key 9m,0.8131,Key 9m,0.76,Key 9m,0.8377,Key 9m,0.7582,Key 8d,0.8809,Key 8d,0.8334
4594182945475060106,Key 11m,0.7883,Key 10m,0.7664,Key 10m,0.8041,Key 11m,0.7944,Key 11m,0.7193,Key 10d,0.9025,Key 10d,0.9077
4627446750702679601,Key 11m,0.8769,Key 11m,0.8845,Key 11m,0.9072,Key 11m,0.8393,Key 11m,0.8212,Key 11d,0.836,Key 11m,0.9608
4717166592714641384,Key 2m,0.8606,Key 2m,0.8964,Key 2m,0.8492,Key 2m,0.8981,Key 2m,0.7941,Key 2d,0.8446,Key 2m,0.831
4730276846874544397,Key 1m,0.9392,Key 1m,0.9189,Key 1m,0.8826,Key 1m,0.8761,Key 1m,0.9298,Key 1m,0.7233,Key 1m,0.7864
4819499593723479256,Key 1m,0.9032,Key 1m,0.9203,Key 1m,0.9059,Key 1m,0.9157,Key 1m,0.8369,Key 1d,0.8515,Key 1d,0.8916
4828034881631250974,Key 7d,0.6904,Key 7m,0.7365,Key 7d,0.7684,Key 7d,0.8078,Key 7d,0.7244,Key 7d,0.8609,Key 7d,0.7956
4840770575484896153,Key 1m,0.8263,Key 1m,0.8357,Key 1m,0.813,Key 1m,0.8509,Key 1m,0.7433,Key 12d,0.7999,Key 1m,0.7942
4945362780685598928,Key 9m,0.9005,Key 9m,0.8983,Key 9m,0.8806,Key 9m,0.8294,Key 9m,0.8787,Key 9d,0.7163,Key 9m,0.9169
4965701715304683366,Key 5m,0.9056,Key 5m,0.8796,Key 5m,0.9022,Key 5m,0.7835,Key 5m,0.9227,Key 5d,0.5888,Key 5m,0.8827
4981932679109136640,Key 11m,0.9218,Key 11m,0.9146,Key 11m,0.922,Key 11m,0.8743,Key 11m,0.9007,Key 11m,0.7736,Key 11m,0.9083
5047317770290608666,Key 2m,0.9537,Key 2m,0.9643,Key 2m,0.9077,Key 2m,0.9251,Key 2m,0.9042,Key 2m,0.7536,Key 2m,0.8691
5069161860921958744,Key 1m,0.8252,Key 1m,0.8614,Key 1m,0.7903,Key 1m,0.9073,Key 12d,0.752,Key 12d,0.7866,Key 12d,0.8546
5118930729986298770,Key 12m,0.8244,Key 12m,0.8719,Key 12m,0.752,Key 12m,0.821,Key 12m,0.7966,Key 12d,0.6655,Key 12m,0.7773
5191041441685466742,Key 5m,0.8405,Key 5m,0.8528,Key 5m,0.8368,Key 5m,0.7882,Key 5m,0.809,Key 5m,0.6269,Key 5m,0.7616
5214739254450562305,Key 2m,0.8241,Key 2m,0.8456,Key 2m,0.8299,Key 2m,0.8149,Key 2m,0.7679,Key 2d,0.8033,Key 2d,0.8627
5330771727593657392,Key 10m,0.9407,Key 10m,0.9292,Key 10m,0.9491,Key 10m,0.8698,Key 10m,0.9208,Key 10d,0.7099,Key 10m,0.9056
5359692276108508695,Key 9d,0.8563,Key 9m,0.7262,Key 9d,0.912,Key 9d,0.9491,Key 9d,0.893,Key 9d,0.9468,Key 9d,0.8728
5391908372623741040,Key 3m,0.6366,Key 2m,0.5772,Key 2d,0.6361,Key 2d,0.68,Key 3m,0.6041,Key 2d,0.7987,Key 2d,0.7633
