apple_music_id,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,shaath_key,shaath_strength,braw_key,braw_strength,temperley_key,temperley_strength,noland_key,noland_strength,bpm_rhythm,bpm_rhythm_confidence,bpm_percival
6DAAF4207B02893B,Key 1m,0.8963,Key 1m,0.8909,Key 1m,0.9269,Key 1m,0.8664,Key 1m,0.846,Key 1m,0.7503,Key 1m,0.8837,119.97,1.6435,120.19
6E34CB8920673D5A,Key 4d,0.3949,Key 5m,0.3781,Key 4d,0.4797,Key 4d,0.4578,Key 4d,0.4301,Key 4d,0.4861,Key 4d,0.3499,120.0,3.0628,120.19
6E4FD35EE54F13DE,Key 10d,0.7811,Key 11m,0.7446,Key 10d,0.86,Key 10d,0.8619,Key 10d,0.8631,Key 10d,0.8642,Key 10d,0.8756,119.01,3.6905,118.8
6E8BE67AAA519E71,Key 7m,0.9709,Key 7m,0.9674,Key 7m,0.9515,Key 7m,0.9293,Key 7m,0.9346,Key 7m,0.6878,Key 7m,0.883,125.01,2.173,125.28
6F6245FE2326FC93,Key 1d,0.8147,Key 2m,0.5711,Key 1d,0.8358,Key 1d,0.8811,Key 1d,0.8783,Key 1d,0.7962,Key 1d,0.7656,135.88,1.2621,136.0
7066908E7CEA3A27,Key 1m,0.9085,Key 1m,0.8707,Key 1m,0.9213,Key 1m,0.7888,Key 1m,0.9192,Key 1m,0.688,Key 1m,0.9061,133.02,2.5843,133.37
718C5E9774F40858,Key 1m,0.9357,Key 1m,0.9214,Key 1m,0.9046,Key 1m,0.9044,Key 1m,0.9121,Key 1m,0.7365,Key 1m,0.7569,101.14,1.002,101.33
71D9D74FF5B5D989,Key 1d,0.8809,Key 1m,0.6539,Key 1d,0.9381,Key 1d,0.9173,Key 1d,0.9295,Key 1d,0.888,Key 1d,0.9114,150.1,1.449,74.9
74ED830B8CE52CEE,Key 1d,0.7844,Key 1m,0.7783,Key 1d,0.8149,Key 1m,0.8704,Key 1d,0.8191,Key 1d,0.7199,Key 12d,0.771,126.92,1.39,126.82
758395E81B989F13,Key 9d,0.917,Key 6m,0.862,Key 6m,0.8737,Key 9d,0.8029,Key 6m,0.9193,Key 9d,0.6254,Key 6m,0.9,128.54,2.1841,128.4
76230A9587858ECB,Key 3m,0.7625,Key 3m,0.7492,Key 3m,0.6798,Key 3m,0.7224,Key 3m,0.7401,Key 3m,0.5963,Key 3m,0.4932,122.01,3.4203,122.32
762C4C36E5998609,Key 2d,0.7578,Key 2m,0.6402,Key 2d,0.7904,Key 2d,0.7858,Key 2d,0.7783,Key 1d,0.7116,Key 1d,0.7619,123.98,2.507,123.78
77902F0DDCDAC2C8,Key 2m,0.8123,Key 2m,0.8541,Key 2d,0.8407,Key 2m,0.8642,Key 2d,0.7801,Key 2d,0.9065,Key 2d,0.9559,100.02,2.4294,100.35
77DDE88FACE6EACC,Key 9d,0.7923,Key 7m,0.6808,Key 9d,0.7923,Key 9d,0.7069,Key 6m,0.7718,Key 8d,0.7248,Key 7d,0.8419,117.91,2.543,118.12
78334582983C4C88,Key 4m,0.9233,Key 4m,0.9055,Key 4m,0.9456,Key 4m,0.8778,Key 4m,0.9161,Key 5m,0.6611,Key 4m,0.8493,123.87,1.0818,123.78
784FE3112B5D8F78,Key 1m,0.9242,Key 1m,0.9403,Key 1m,0.9287,Key 1m,0.9366,Key 1m,0.8511,Key 1d,0.8159,Key 1m,0.8984,118.01,3.207,118.12
78FB70119A0E0A0C,Key 9d,0.974,Key 6m,0.6825,Key 9d,0.972,Key 9d,0.9874,Key 9d,0.9927,Key 9d,0.8831,Key 9d,0.8081,67.81,1.7553,135.55
79F08A5A67F3F3C1,Key 1m,0.8073,Key 1m,0.8558,Key 1d,0.8543,Key 1m,0.8469,Key 1d,0.8193,Key 1d,0.8493,Key 1d,0.9391,127.99,2.1717,128.4
7AD780FA846BB6A4,Key 4m,0.9154,Key 4m,0.9419,Key 4m,0.8809,Key 4m,0.9676,Key 4m,0.8421,Key 4d,0.7442,Key 4m,0.7701,77.57,1.5061,77.71
7CB565F0DF8F5339,Key 2d,0.7676,Key 2m,0.8033,Key 2d,0.8221,Key 2d,0.8804,Key 2d,0.7982,Key 2d,0.8827,Key 2d,0.7743,93.98,3.0204,93.96
7CB581142AC30B5A,Key 10d,0.5662,Key 6m,0.4933,Key 6m,0.5865,Key 10d,0.5607,Key 10d,0.5591,Key 6m,0.6287,Key 6m,0.4677,123.82,2.6291,125.28
