apple_music_id,artist,name,key,bpm,djay_bpm,djay_manual_bpm,apple_music_bpm,djay_am_bpm_diff,open_key,essentia_key,comment,key_diff
E785D78D410B38EC,Agoria,Solarized,,121.98,121.98,,122,-0.02,Key 12m,Key 12m,Key 11m,2
5BA2330A0B253778,Ben Pearce,What I Might Do,,122.0,122.0,,122,0.0,Key 11m,Key 10m,Key 10m,2
0F318D760842D049,Dave DK,Will Be Gone,,122.0,122.0,,122,0.0,Key 7m,Key 8m,Key 7m,2
9A50EE5E8F861935,DJ Boring,Winona,,122.0,122.0,,122,0.0,Key 10m,Key 10m,Key 11m,2
0002F679BA418CAA,Galcher Lustwerk,Put On,,121.5,121.5,,122,-0.5,Key 3m,Key 2d,Key 3m,2
FEAE624ED7992809,The White Lamp,It's You (Ron Basejam Remix),,122.0,122.0,,122,0.0,Key 1m,Key 2m,Key 1m,2
6C5D034AB472774F,Andre Lodemann,Where Are You Now,,126.0,126.0,,126,0.0,Key 8m,Key 9m,Key 9m,2
EF8693AB5E7D9420,Barry Can't Swim,Fiorucci Made Me Hardcore,,137.0,137.0,,137,0.0,Key 3m,Key 2m,Key 2m,2
FF70E3BB9A5FF4F3,Bella Boo,True Romance (Maja Edit),,126.0,126.0,,126,0.0,Key 8d,Key 8d,Key 9m,2
4300A02512D36A1E,Butch,Dope,,123.0,123.0,,123,0.0,Key 7m,Key 7d,Key 8m,2
9F92A0939862C627,Calibre,Things like This,,175.0,175.0,,175,0.0,Key 1m,Key 1m,Key 12m,2
758395E81B989F13,Caribou,Sun,,128.0,128.0,,128,0.0,Key 7m,Key 6m,Key 7m,2
0309ABE3B1F56439,Daphni,Tin,,127.0,127.0,,127,0.0,Key 2m,Key 1m,Key 1m,2
5DE7922B6C97D58E,Daso,T. Anders,,128.0,128.0,,128,0.0,Key 1m,Key 1d,Key 12m,2
85E680630CBAEC4A,Dauwd,Ikopol,,126.0,126.0,,126,0.0,Key 12m,Key 11d,Key 11m,2
3ECA64B01BFE8FC3,DJ Koze,Mariposa,,124.01,124.01,,124,0.01,Key 5m,Key 4m,Key 4m,2
4AD3E818EBB15070,DJ Linus,Are You Ready?,,124.0,124.0,,124,0.0,Key 3m,Key 2d,Key 3m,2
6A3412E39F12BDCC,Efdemin,Parallaxis (Traumprinz's Over 2 The End Version),,123.0,123.0,,123,0.0,Key 2d,Key 1d,Key 2m,2
B0B8D7CE7C71D25D,Francis Inferno Orchestra,Harmony,,123.0,123.0,,123,0.0,Key 12m,Key 1m,Key 12m,2
71D9D74FF5B5D989,Fred again..,Dermot (See Yourself In My Eyes),,150.0,150.0,,150,0.0,Key 2d,Key 1d,Key 1d,2
FF4533FB215CA362,Galcher Lustwerk,Outside the Club,,124.0,124.0,,124,0.0,Key 11m,Key 11d,Key 10m,2
8FAC2CC8F72BCE4E,Genius Of Time,Peace Bird,,124.0,124.0,,124,0.0,Key 11m,Key 10m,Key 10m,2
1488CC99DFD56341,Guti,We Shall Overcome,,123.0,123.0,,123,0.0,Key 11m,Key 10m,Key 10m,2
1358E16BE3A17A16,Guti & Dubshape,Every Cow Has A Bird,,124.0,124.0,,124,0.0,Key 6m,Key 6m,Key 5m,2
8690521330EC8AF3,Halo Varga & Proudly People feat. Mr. V,Trust (Einzelkind & Robin Scholz aka Rhythm Factory - Boogie Down Bronx Remix),,126.0,126.0,,126,0.0,Key 12m,Key 1m,Key 12m,2
79F08A5A67F3F3C1,Head High,Break Away,,128.0,128.0,,128,0.0,Key 2d,Key 1d,Key 1m,2
C1582B7F7DA5845E,Herbert,I Hadn't Known (I Only Heard),,123.43,123.43,,123,0.43,Key 8m,Key 7m,Key 8m,2
6F6245FE2326FC93,"Jamie xx, Romy & Oliver Sim",Waited All Night,,136.0,136.0,,136,0.0,Key 2m,Key 1d,Key 2m,2
53630469057C2991,Jeigo,Pearl Leaf,,129.0,129.0,,129,0.0,Key 11m,Key 11d,Key 10m,2
007FD1AF98397066,José González,Heartbeats (Logic1000 Remix),,124.0,124.0,,124,0.0,Key 8m,Key 8m,Key 7m,2
15AAF9129E9097D9,KARO,Come on and do it (Nachtiville Opening 2023),,130.0,130.0,,130,0.0,Key 1m,Key 12m,Key 1m,2
BA5EAC90BC085B11,Larry Heard & Mr. White,The Sun Can't Compare (Long Version),,128.0,128.0,,128,0.0,Key 2m,Key 1d,Key 1m,2
C5F31F7C9A24426C,Map.ache,Thank U Again,,127.0,127.0,,127,0.0,Key 5m,Key 6m,Key 5m,2
BC40BC3F27B7708E,Marcel Fengler,Jaz,,126.0,126.0,,126,0.0,Key 4d,Key 3d,Key 3d,2
07E79E43BE084C3A,Marshall Jefferson & Noosa Heads,Mushrooms (Justin Martin Mix),,125.0,125.0,,125,0.0,Key 5m,Key 4d,Key 5m,2
762C4C36E5998609,Max von Sternberg,Moving (Sofia Kourtesis Remix),,124.0,124.0,,124,0.0,Key 1m,Key 2d,Key 2m,2
1471A80A7AF81A2B,Meera (NO),No Space,,124.0,124.0,,124,0.0,Key 11m,Key 11m,Key 12m,2
5AEE4E32856F28B8,The MFA,The Difference It Makes (Superpitcher Mix),,126.0,126.0,,126,0.0,Key 5m,Key 4d,Key 4d,2
F0E1937D39E39F3D,Moderat,NEON RATS,,131.0,131.0,,131,0.0,Key 1m,Key 12d,Key 1m,2
9BD4637C4A7A2826,Mount Kimbie,Made To Stray (DJ Koze Remix),,125.0,125.0,,125,0.0,Key 8m,Key 8m,Key 7m,2
67FBE81F34F2ABF3,not even noticed,Affected,,135.0,135.0,,135,0.0,Key 2m,Key 1m,Key 1m,2
9E37ABD9453E8FB0,Overmono,Good Lies,,126.0,126.0,,126,0.0,Key 10d,Key 9m,Key 9m,2
2511CA917F76BFD9,Pachanga Boys,Time,,124.0,124.0,,124,0.0,Key 12d,Key 12d,Key 11m,2
3FC1D10C4232E18A,Raphael Schön,Energy,,133.0,133.0,,133,0.0,Key 10m,Key 11m,Key 11m,2
11E443B22327627D,Rework,You're So Just Just,,128.0,128.0,,128,0.0,Key 9m,Key 9d,Key 8d,2
4B7BCE101F0C5705,Róisín Murphy,What Not To Do,,149.0,149.0,,149,0.0,Key 12m,Key 12m,Key 11d,2
F8432D5DF2C13766,Roy Of The Ravers,Emotinium (Roy Of The Ravers Secret Mix),,127.1,127.1,,127,0.1,Key 9m,Key 8d,Key 9m,2
7066908E7CEA3A27,Sofia Kourtesis & Daphni,Unidos,,133.0,133.0,,133,0.0,Key 2m,Key 1m,Key 2m,2
AA6B003CE506D86D,Stardust,Music Sounds Better With You,,123.91,123.91,,124,-0.09,Key 8m,Key 9m,Key 8m,2
EEC86D0C2EC2A9B7,Steffi feat. Virginia,Yours,,125.0,125.0,,125,0.0,Key 12m,Key 1m,Key 1m,2
8409C774C2D44656,Tim Engelhardt,High Places,,124.0,124.0,,124,0.0,Key 8d,Key 7d,Key 8m,2
C0F213BCA151C676,Tony Lionni,Found a Place,,124.74,124.74,,125,-0.26,Key 11m,Key 11m,Key 10m,2
F65FD0EC425C3CA1,Westbam feat. Richard Butler,You Need the Drugs,,128.0,128.0,,128,0.0,Key 7m,Key 6m,Key 6m,2
FC20FA88486DA599,splonie,Do It To Me (Original Mix),,124.0,124.0,,124,0.0,Key 2m,Key 2d,Key 3m,2
